iter	Passed	Remaining
0	1	99
1	1	88
2	2	85
3	3	78
4	4	77
5	4	75
6	5	74
7	6	73
8	7	72
9	8	72
10	8	72
11	9	72
12	10	71
13	11	70
14	12	69
15	13	68
16	13	67
17	14	66
18	15	66
19	16	64
20	16	63
21	17	63
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	32	48
40	32	47
41	33	45
42	33	45
43	34	44
44	35	43
45	36	42
46	37	41
47	38	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
